Source,Target,Weight
YouTuber,djmariio,842
YouTuber,DjMaRiiO,1198
YouTuber,CR7,85
YouTuber,ADRI,7
YouTuber,IKER CASILLAS,18
YouTuber,FEDE VALVERDE,2
YouTuber,Rivers,3
YouTuber,ibai,236
YouTuber,RONALDINHO,8
YouTuber,XBUYER,8
YouTuber,DJMARIIO,15
YouTuber,SPURSITO,18
YouTuber,CACHO,5
YouTuber,PERXITA,19
YouTuber,SHAKIRA,3
YouTuber,BIZARRAP,2
YouTuber,Piqué,220
YouTuber,PIQUÉ,1
YouTuber,CHARLANDO,2
YouTuber,CRISTIANO RONALDO,473
YouTuber,JUAN GUARNIZO,21
YouTuber,CRISTIANO,13
YouTuber,Kun Agüero,122
YouTuber,MESSI,22
YouTuber,MARADONA,1
YouTuber,MundoMaldini,1
YouTuber,EL KUN AGUERO,1
YouTuber,CRISTIANO LLORANDO,1
YouTuber,Juanma Gonzalez,1
YouTuber,EUSEBIO,4
YouTuber,AMINE,2
YouTuber,DjMaRiiO PRESIDENTE,1
YouTuber,ANSU FATI,2
YouTuber,KARIM BENZEMA,2
YouTuber,PEDRI,6
YouTuber,MBAPPE,13
YouTuber,TheGrefg,5
YouTuber,LEWANDOWSKI,2
YouTuber,SACAR LEYENDA,1
YouTuber,SERGIPATO,7
YouTuber,THEGREFG,2
YouTuber,TCHOUAMENI,1
YouTuber,MALDINI,2
YouTuber,MBAPPÉ,9
YouTuber,PORCINOS,1
YouTuber,auron,100
YouTuber,AURONPLAY,5
YouTuber,auronplay,47
YouTuber,JEQUES,1
YouTuber,PELE,3
YouTuber,GULLIT,2
YouTuber,RONALDO SUPER PRIME,1
YouTuber,RONALDO NAZARIO,6
YouTuber,JORGINHO,1
YouTuber,VINICIUS,2
YouTuber,CRISTIANO RONALDO FUT,1
YouTuber,RONALDO NAZARIO PRIME,1
YouTuber,IBAI,7
YouTuber,elxokas,1
YouTuber,AUBAMEYANG,3
YouTuber,TOTY,3
YouTuber,LEO MESSI,460
YouTuber,DjMaRiiO IMPOSTOR,1
YouTuber,HAALAND,2
YouTuber,NEYMAR,2
YouTuber,KOEMAN,5
YouTuber,DUX,1
YouTuber,JOSEP PEDREROL,2
YouTuber,SIRO,1
YouTuber,RUBEN,1
YouTuber,MESSI FUTTIE,1
YouTuber,ROBERTPG,1
YouTuber,KOLDERIU,2
YouTuber,ADIOS DE MESSI,1
YouTuber,MESSI LLORANDO,1
YouTuber,SERGIO RAMOS,1
YouTuber,CRISTIANO RONALDOOOOOOOOOOOO,1
YouTuber,ERIC GARCIA,1
