Source,Target,Weight
YouTuber,emma,554
YouTuber,LOUIS VUITTON,4
YouTuber,TRADER JOES,1
YouTuber,JOJO SIWA,1
YouTuber,EMMA,10
YouTuber,SANTA,1
YouTuber,James Charles,15
YouTuber,Dolan Twins,1
YouTuber,god,1
YouTuber,DOLAN TWINS,3
YouTuber,JAMES CHARLES,6
YouTuber,POPIN COOKIN,1
YouTuber,PUMPKIN,1
YouTuber,EMMA'S,1
YouTuber,michael chamberlain,6
YouTuber,emma chamberlain,415
YouTuber,chamberlain,308
YouTuber,jeffthibodeauco,1
YouTuber,emma  chamberlain,1
YouTuber,emmachamberlain,5
YouTuber,emmachambie,4
YouTuber,louis vuitton,28
YouTuber,Emma,454
YouTuber,Stupid Genius,4
YouTuber,ethans,8
YouTuber,grayson,25
YouTuber,graysondolan,1
YouTuber,james,21
YouTuber,Kevin MacLeod,5
YouTuber,ethan,28
YouTuber,ELLIE THUMANN,7
YouTuber,ANDRE,3
YouTuber,jack and jill,1
YouTuber,HANNAH MELOCHE,6
YouTuber,WESTON KOURY,2
YouTuber,KALYNN KOURY,2
YouTuber,JAMES CHARLES’,1
YouTuber,TheDolanTwins,1
YouTuber,Emma Chamberlain,95
YouTuber,ELLE MILLS,2
YouTuber,wes10,2
YouTuber,elle.mills,1
YouTuber,SUMMER MCKEEN,1
YouTuber,OLIVIA ROUYRE,1
YouTuber,MCKENZIE LUSKEY,1
YouTuber,SIENA MIRABELLA,1
YouTuber,siena_mirabella,1
YouTuber,://,3
YouTuber,sienaxmirabella,1
YouTuber,sienamirabella,1
YouTuber,DYLAN JORDAN,1
YouTuber,dylanjordan,1
YouTuber,LIV VARGUS,1
YouTuber,DOTE,2
YouTuber,MARLA CATHERINE,2
YouTuber,AVREY OVARD,2
YouTuber,HAILEY SANI,2
YouTuber,FIONA FRILLS,2
YouTuber,SARAH FEELD,2
YouTuber,haileysani,2
YouTuber,ENYA’S,4
YouTuber,DREW’S,2
YouTuber,Drewphillips,2
YouTuber,JOSH’S,1
YouTuber,philz,1
YouTuber,drewphillips,1
YouTuber,MARLA CATHERINE’S,1
YouTuber,SUMMER MCKEEN’S,1
YouTuber,MARLA’S,2
YouTuber,Joakim Karud,78
YouTuber,JoakimKarud,78
YouTuber,Emma Frances Chamberlain,48
YouTuber,cody,8
YouTuber,KELSEY’S,1
YouTuber,kelseykreppel,2
YouTuber,CODY’S,1
