Source,Target,Weight
YouTuber,CHARLANDO,3
YouTuber,AITANA,1
YouTuber,KUN,10
YouTuber,Rosalía,25
YouTuber,Rauw,11
YouTuber,RAUW,2
YouTuber,ROSALIA,2
YouTuber,NADIA JÉMEZ,1
YouTuber,PIQUÉ,5
YouTuber,ROSALÍA,1
YouTuber,RAUW ALEJANDRO,2
YouTuber,GERARD PIQUÉ,2
YouTuber,KUN AGÜERO,5
YouTuber,THEGREFG,8
YouTuber,GANA,1
YouTuber,MAYICHI,5
YouTuber,COSCU,3
YouTuber,GERMÁN GARMENDIA,1
YouTuber,AMOURANTH,1
YouTuber,SHELAO,1
YouTuber,VIRUZZ,3
YouTuber,LUZU,5
YouTuber,FERNANFLOO,2
YouTuber,AMPETER,1
YouTuber,PAPI GAVI,2
YouTuber,RONALDINHO,1
YouTuber,CASILLAS,1
YouTuber,PORCINOS,1
YouTuber,IKER CASILLAS,1
YouTuber,JOSÉ MOURINHO,1
YouTuber,XBUYER,4
YouTuber,LEO MESSI,2
YouTuber,GERARD ROMERO,1
YouTuber,AURON,15
YouTuber,auron,88
YouTuber,ABBY,4
YouTuber,LOLA INDIGO,1
YouTuber,IBAI,6
YouTuber,ibai,1705
YouTuber,Piqué,64
YouTuber,RUBIUS,8
YouTuber,GREFG,12
YouTuber,rubius,45
YouTuber,SHAKIRA,2
YouTuber,QUEVEDO,1
YouTuber,DON LIONEL ANDRÉS MESSI,1
YouTuber,MESSI,6
YouTuber,CANELO,2
YouTuber,CHICHARITO,2
YouTuber,CHICHARITO HERNÁNDEZ,1
YouTuber,LUIS ENRIQUE,1
YouTuber,Gerard Piqué,26
YouTuber,Culers,1
YouTuber,Carola,331
YouTuber,Komanche,384
YouTuber,Skain,27
YouTuber,ZAZZA,1
YouTuber,KARCHEZ,2
YouTuber,AXOZER,1
YouTuber,ELADIO CARRIÓN,1
YouTuber,GIVENCHY,1
YouTuber,DUKI,1
YouTuber,POL,2
YouTuber,BARBE,3
YouTuber,RIOBOO,1
YouTuber,REBORN,4
YouTuber,JUAN,2
YouTuber,auronplay,37
YouTuber,JAGGER,2
YouTuber,CAROLA,1
YouTuber,SPURSITO,1
YouTuber,LOLITO,2
YouTuber,ARI,1
YouTuber,JUAN GUARNIZO,4
YouTuber,QUACKITY,1
YouTuber,RIVERS,1
YouTuber,GG,1
YouTuber,KOMANCHE,3
YouTuber,BAD BUNNY,2
YouTuber,MILANESA,1
YouTuber,CHORIZO,1
YouTuber,SELIS13,1
YouTuber,DJMARIIO,5
YouTuber,djmariio,36
YouTuber,PAULO,1
YouTuber,MARIANA,1
YouTuber,LUISITO,4
YouTuber,PACO,1
YouTuber,vegeta,18
YouTuber,J.BALVIN,1
YouTuber,RESIDENTE,1
YouTuber,vegetta,23
YouTuber,MARVEL,1
YouTuber,TIAGO PZK,1
YouTuber,AROYIT,1
YouTuber,NIA,1
YouTuber,ARIGAMEPLAYS,1
YouTuber,"AXOZER,JUAN",1
YouTuber,ANDER,1
YouTuber,KIDD KEO,2
YouTuber,BANEADO,1
YouTuber,WALLAPOP,1
YouTuber,TRUENO,1
YouTuber,Eladio Carrión,10
YouTuber,MÍSTER JÄGGER,1
YouTuber,COURTOIS,8
YouTuber,SERGI ROBERTO,1
YouTuber,CRISTININI,6
YouTuber,JUANSGUARNIZO,1
YouTuber,REVEN,8
YouTuber,BARBEQ,4
YouTuber,Lucas Requena,4
YouTuber,AURONPLAY,1
YouTuber,CRISTIANO,1
YouTuber,DIDAC RIBOT,1
YouTuber,NEYMAR,3
YouTuber,WILLYREX,6
YouTuber,ALEXBY11,1
YouTuber,BIYIN,1
YouTuber,SERPIENTE,1
YouTuber,FRANK,1
YouTuber,Rubius,113
YouTuber,TheGrefg,57
YouTuber,Willyrex,43
YouTuber,"Vegetta,Broncano",1
YouTuber,FARGAN,2
YouTuber,OCELOTE,3
YouTuber,SILITHUR,5
YouTuber,PAPO,3
YouTuber,GONCHO,1
YouTuber,EL,2
YouTuber,NEYMAR JR,1
YouTuber,PAPOMC,1
YouTuber,MANUCHO,2
YouTuber,PAPIGAVI,1
YouTuber,VIOLETA,1
YouTuber,PAPO MC,3
YouTuber,BERET,1
YouTuber,CHUTY,1
YouTuber,KNEKRO,1
YouTuber,ELMILLOR,1
YouTuber,LMDSHOW,1
YouTuber,JOSEP PEDREROL,1
YouTuber,HAKIMI,1
YouTuber,REGUILÓN,1
YouTuber,BORJA IGLESIAS,1
YouTuber,EL GRAN MANUCHO,1
YouTuber,IbaiLlanos,368
YouTuber,ibaillanos,683
YouTuber,Ibai,1672
YouTuber,Rickyexp,124
YouTuber,unosMemiyos,159
YouTuber,rauwalejandro,3
YouTuber,arnau,1
YouTuber,ro7,1
YouTuber,Gerard Tarrega,1
YouTuber,Xbuyer,1
YouTuber,valen,2
YouTuber,arnau_ro7,1
YouTuber,polfores7,1
YouTuber,Valen,12
YouTuber,Ampeter,318
YouTuber,DjMaRiiO,42
YouTuber,Luzu,546
YouTuber,ElRubiusOMG,1
YouTuber,Alexelcapo,9
YouTuber,Perxitaa,186
YouTuber,Lolito,3
YouTuber,ElXokas,2
YouTuber,ElRich,9
YouTuber,Jordi Wild,10
YouTuber,DaniRep,6
YouTuber,Luisito Comunica,9
YouTuber,Fernanfloo,55
YouTuber,elrubius,15
YouTuber,Duki,38
YouTuber,Puyol,2
YouTuber,Mourinho,1
YouTuber,Laporta,4
YouTuber,Karim Benzema,15
YouTuber,Fede Valverde,2
YouTuber,Ferran Torres,6
YouTuber,Rodrygo Goes,1
YouTuber,Aiko,2
YouTuber,Astrid,4
YouTuber,Paula,39
YouTuber,Alba,10
YouTuber,Reyes,4
YouTuber,Andrea,7
YouTuber,McQuack,1
YouTuber,Ángeles Lakers,2
YouTuber,kaerreee,1
YouTuber,Brianeitor,6
YouTuber,Keroro,18
YouTuber,Barbe,209
YouTuber,Mizkif,12
YouTuber,Ludwig,7
YouTuber,Rels B,5
YouTuber,Grefg,115
YouTuber,Spursito,187
YouTuber,Nicki Nicole,7
YouTuber,Arigameplays,1
YouTuber,Paracetamor,74
YouTuber,Momo,147
YouTuber,Viruzz,116
YouTuber,Quevedo,18
YouTuber,Auronplay,2
YouTuber,Bizarrap,29
YouTuber,Jagger,1
YouTuber,Bustamante,85
YouTuber,AriGameplays,16
YouTuber,Jägger,125
YouTuber,Riqui Puig,5
YouTuber,Araujo,6
YouTuber,Nico,14
YouTuber,Ansu,27
YouTuber,Kevin De Bruyne,2
YouTuber,Gabriel Jesus,1
YouTuber,Phil Foden,1
YouTuber,Vinicius Jr,1
YouTuber,Bernardo Silva,2
YouTuber,Jaime Alguersuari,15
YouTuber,Karchez,545
YouTuber,Ander,447
YouTuber,IbaiLand,3
YouTuber,TITUS,1
YouTuber,KHAN,1
YouTuber,rogerbelso,1
YouTuber,LucasRequena,2
YouTuber,lucas.requena.rec,1
YouTuber,RequenaRec,1
YouTuber,ortoPilot,1
YouTuber,Vegetta,40
YouTuber,StaXx,2
YouTuber,DjMariio,1
YouTuber,Alexby,19
YouTuber,Ampeterby7,2
YouTuber,Messi,218
YouTuber,Evangelion,1
YouTuber,Dracukeo,1
YouTuber,Silithur,28
YouTuber,BarbeQ,23
YouTuber,Reven,360
YouTuber,Cristinini,103
YouTuber,Manucho,1
YouTuber,Jacky,41
YouTuber,Aleks Ripoll,1
YouTuber,Alex Ripoll,7
YouTuber,Carlitos,33
YouTuber,David López,81
YouTuber,Gabriel fichero,7
YouTuber,Pichichi,1
YouTuber,José blanco,3
YouTuber,José Segovia,29
YouTuber,Soto,2
YouTuber,Gabriel,138
YouTuber,kilian honorato,8
YouTuber,Raúl lao,2
YouTuber,rauw lao,1
YouTuber,rauw,2
YouTuber,Raúl Lau,2
YouTuber,Lil Pizza,1
YouTuber,Álvaro Pons,2
YouTuber,juvenal,1
YouTuber,Jose blanco,1
YouTuber,Segovia,50
YouTuber,raw lao,1
YouTuber,Lil pizza,1
YouTuber,sergi,2
YouTuber,Greg,5
YouTuber,Aitana,6
YouTuber,Nick Nicole,1
YouTuber,Nicky,1
YouTuber,Juan,284
YouTuber,Mario Casas,4
YouTuber,Contreras,5
YouTuber,Adri Contreras,15
YouTuber,Eva,3
YouTuber,Mira,2
YouTuber,Shakira,25
YouTuber,Irán,1
YouTuber,Iniesta,2
YouTuber,Ari,126
YouTuber,vinicius Junior,1
YouTuber,Neymar,35
YouTuber,Ronaldinho,16
YouTuber,Rey,1
YouTuber,perchita,7
YouTuber,Raúl Martínez,1
YouTuber,berger,1
YouTuber,veguer,1
YouTuber,José Juan,6
YouTuber,Chaval,1
YouTuber,El Bola,1
YouTuber,Danny,1
YouTuber,Adri,8
YouTuber,Juan guarnizo,2
YouTuber,Pío,2
YouTuber,Raúl,97
YouTuber,Jesucristo,9
YouTuber,Dani García,7
YouTuber,papá Dios,1
YouTuber,Chuletón,1
YouTuber,Juan Guarnizo,30
YouTuber,Uri Pons,29
YouTuber,Espinosa,79
YouTuber,Espi,30
YouTuber,Pons,2
YouTuber,Javi,119
YouTuber,Huguito,7
YouTuber,Marcos,155
YouTuber,Hugo,145
YouTuber,Jose Blanco,7
YouTuber,Cicheroooo,1
YouTuber,Dani Pérez,17
YouTuber,Cichero,40
YouTuber,Javier,22
YouTuber,Don Javier,1
YouTuber,don,3
YouTuber,Uri,56
YouTuber,Porcinos,46
YouTuber,Aniquiladores,6
YouTuber,Nadir,11
YouTuber,Sego,7
YouTuber,Bernat,9
YouTuber,Juvenal,26
YouTuber,Fraile,22
YouTuber,Hugo Fraile,71
YouTuber,Dios Santo,1
YouTuber,Fran,56
YouTuber,Galvany,2
YouTuber,Jose,77
YouTuber,Galvanyyyyy,1
YouTuber,Dale,44
YouTuber,Guarnizo,2
YouTuber,Espe,1
YouTuber,Bernaaat,1
YouTuber,Fran Martínez,1
YouTuber,Nadiiiiir,2
YouTuber,Gabi,5
YouTuber,Blanco,7
YouTuber,Blancooo,1
YouTuber,Gilles,8
YouTuber,Cicheroooooo,1
YouTuber,Gabriel Cichero,12
YouTuber,Fran Hernández,4
YouTuber,Dani,34
YouTuber,Dani Péreeeeez,1
YouTuber,Fraileeeeee,1
YouTuber,Alejandro,9
YouTuber,Arcángel,16
YouTuber,Anuel AA,7
YouTuber,Gonzalo,4
YouTuber,Maradona,11
YouTuber,Biza,22
YouTuber,Dybala,4
YouTuber,Leo,44
YouTuber,Dibu,25
YouTuber,Mera,2
YouTuber,Pelé,13
YouTuber,Gerard,58
YouTuber,Cabrón,7
YouTuber,Manín,1
YouTuber,Anuel,8
YouTuber,Gerardo el Picas,3
YouTuber,La Maravilla,1
YouTuber,Cobra,10
YouTuber,Mario Reyes,2
YouTuber,Geri,11
YouTuber,Sirena,17
YouTuber,Peeerdona,1
YouTuber,Martí,4
YouTuber,Pedri,20
YouTuber,Mario,210
YouTuber,Jijantes,9
YouTuber,Bojan,1
YouTuber,Ricardinho,1
YouTuber,Corvo,1
YouTuber,Romero,21
YouTuber,Gerard Romero,18
YouTuber,Cristian Ubón,3
YouTuber,Jacobo,9
YouTuber,GRITAN,236
YouTuber,Bigotes,1
YouTuber,Ja-Corvo,4
YouTuber,Frankenstein,1
YouTuber,Drácula,2
YouTuber,Barbarroja,1
YouTuber,Goliat,1
YouTuber,Edgar Álvaro,8
YouTuber,Javi Buyer,3
YouTuber,Joan Poch,3
YouTuber,Poch,3
YouTuber,David,69
YouTuber,Roger Carbó,2
YouTuber,Nadia,1
YouTuber,Adrián Contreras,2
YouTuber,Papi Gavi,52
YouTuber,Martí Miras,3
YouTuber,DJ,3
YouTuber,Ibai Llanos,26
YouTuber,Eric,11
YouTuber,Kun Agüero,25
YouTuber,Ian,6
YouTuber,Jaume,6
YouTuber,GRUÑE,6
YouTuber,Kun,135
YouTuber,rosal,1
YouTuber,Rauw Alejandro,5
YouTuber,Nana,3
YouTuber,Hueso,2
YouTuber,Rosi,4
YouTuber,Ramos,6
YouTuber,Roberto,3
YouTuber,Vinicius,53
YouTuber,Vini,31
YouTuber,Dembélé,17
YouTuber,Christensen,2
YouTuber,Házsela,1
YouTuber,Raphinha,2
YouTuber,Córner,4
YouTuber,Thibaut,10
YouTuber,ter Stegen,9
YouTuber,Courtois,55
YouTuber,Sergi Roberto,3
YouTuber,Xavi,26
YouTuber,Guardiola,18
YouTuber,Antonio,125
YouTuber,Modrić,16
YouTuber,Tírasela,1
YouTuber,Ansu Fati,6
YouTuber,Busi,7
YouTuber,Kiricocho,4
YouTuber,Cázalo,1
YouTuber,Frenkie,3
YouTuber,Rodrygo,18
YouTuber,Carvajal,11
YouTuber,Marco,6
YouTuber,Militão,14
YouTuber,Mendy,6
YouTuber,Dásela,3
YouTuber,Casillas,20
YouTuber,Dani Fuli,1
YouTuber,Toti,9
YouTuber,Raúl Lao,42
YouTuber,Nico Pareja,5
YouTuber,Pareja,1
YouTuber,Mase,2
YouTuber,Jose Luis,22
YouTuber,Jose Luis Blanco,20
YouTuber,Jose Juan,6
YouTuber,Ubón,13
YouTuber,Pablo Beguer,2
YouTuber,Beguer,3
YouTuber,El Barrio,5
YouTuber,Nico Parejaaa,1
YouTuber,Olae,6
YouTuber,Baranera,1
