Source,Target,Weight
YouTuber,Tamara Gorro,1
YouTuber,Pombo,1
YouTuber,MALBERT,236
YouTuber,malbert,625
YouTuber,Maite,12
YouTuber,SORAYA,1
YouTuber,TANXUGUEIRAS,1
YouTuber,Chanel,13
YouTuber,BAREI,1
YouTuber,ALFRED GARCÍA,3
YouTuber,KARINA,2
YouTuber,CHANELAZO,1
YouTuber,CEPEDA,2
YouTuber,POL CRINGE,1
YouTuber,MANESKIN,1
YouTuber,NAIM DARRECHI,1
YouTuber,AITANA,5
YouTuber,BLAS CANTÓ,1
YouTuber,MELANI,1
YouTuber,MAINAT,1
YouTuber,Kiko Matamoros,7
YouTuber,OMEGLE,1
YouTuber,ALBA RECHE,4
YouTuber,LoveYoli,3
YouTuber,Patry Jordan,1
YouTuber,MARINA YERS,1
YouTuber,Hugo BESA,1
YouTuber,Blas Cantó,1
YouTuber,NETTA,2
YouTuber,Alba Reche,2
YouTuber,ANA GUERRA,4
YouTuber,Billie Eilish,1
YouTuber,AMAIA,3
YouTuber,RAOUL,1
YouTuber,FAMOUS,1
YouTuber,DAVE,3
YouTuber,LOLA,1
YouTuber,Alfred,18
YouTuber,MIKI,2
YouTuber,LOLA ÍNDIGO,3
YouTuber,Katerine Duska,1
YouTuber,RIHANNA,1
YouTuber,BISBAL,1
YouTuber,ROI MÉNDEZ,3
YouTuber,Duncan Laurence,1
YouTuber,Luca Hänni,1
YouTuber,La Venda,1
YouTuber,LUIS MAS,1
YouTuber,Maruv,2
YouTuber,Kate Miller,1
YouTuber,Bilal Hassani,1
YouTuber,RICKY MERINO,1
YouTuber,Thalía Garrido,3
YouTuber,NEREA,1
YouTuber,MIRIAM,1
YouTuber,PABLO LÓPEZ,1
YouTuber,Maria,1
YouTuber,ANA TORROJA,1
YouTuber,MARÍA,1
YouTuber,MARINA JADE,1
YouTuber,JUAN ANTONIO,1
YouTuber,AGONEY,2
YouTuber,Aitana,6
YouTuber,Lola Índigo,2
YouTuber,OT,1
YouTuber,ALFRED,7
YouTuber,Eleni Foureira,1
YouTuber,Sennek,1
YouTuber,Benjamin Ingrosso,1
YouTuber,Christabelle,1
YouTuber,Elina Nechayeva,1
YouTuber,Yulia Samoylova,1
YouTuber,Mikolas Josef,1
YouTuber,Ermal Meta,1
YouTuber,Fabrizio Moro,1
YouTuber,RAGONEY,2
YouTuber,AITEDA,2
YouTuber,Cepeda,10
YouTuber,Percebesygrelos,1
YouTuber,Ailo Sawyer,5
YouTuber,VALENTINA MONETTA,1
YouTuber,Manel Navarro,3
YouTuber,Xavi Martínez,1
