Source,Target,Weight
YouTuber,BLONDIE FESSER,6
YouTuber,RICKY EDIT,3
YouTuber,MIMI,3
YouTuber,THEGREFG,2
YouTuber,BYVIRUZZ,1
YouTuber,YOSOYPLEX,2
YouTuber,ADRI CONTRERAS,2
YouTuber,ARIGELI,2
YouTuber,GERARD PIQUE,1
YouTuber,ALEJA MADNESS,2
YouTuber,SHAINNY,3
YouTuber,YINYLEON,2
YouTuber,JAVI MARTÍNEZ,1
YouTuber,FATI VAZQUEZ,9
YouTuber,MI NOVIA,2
YouTuber,NACHO VIDAL,3
YouTuber,AIDA CORTES,3
YouTuber,VICTORIA CARO,3
YouTuber,JULIA PÉREZ,1
YouTuber,SELENEITOR,3
YouTuber,HACIENDOLO,1
YouTuber,ISA BRUNELLI,1
YouTuber,BANANERO,1
YouTuber,ANDREA SALADIE,3
YouTuber,MONTSE ROURA,3
YouTuber,MOMO,2
YouTuber,COSCU,3
YouTuber,YOLANDA NEED,3
YouTuber,MARIA RISPA,3
YouTuber,GEMMA WIZZAR,9
YouTuber,MADRE,1
YouTuber,emma,12
YouTuber,MARINA YERS,4
YouTuber,WIDLER,3
YouTuber,ANGELA MARMOL,3
YouTuber,JENNI BM,3
YouTuber,PAULA GONU,3
YouTuber,IBAI LLANOS,4
YouTuber,ibai,11
YouTuber,RAUW GALLEGO,3
YouTuber,PRVEGA,1
YouTuber,ELMIILLOR,3
YouTuber,GONSABELLLA,2
YouTuber,MAYICHI,3
YouTuber,SHOOTER,1
YouTuber,HUBIESE,1
YouTuber,CRISTININI,2
YouTuber,KIDD KEO,2
YouTuber,SOFIA ALACH,3
YouTuber,ABASCAL,1
YouTuber,JORDI WILD,2
YouTuber,ZOE DOLL,3
YouTuber,HAN,1
YouTuber,PRVEGA28,1
YouTuber,mostopapi,183
YouTuber,LLOBETI4,3
YouTuber,PAPI GAVI,3
YouTuber,BRIANA BANDERAS,3
YouTuber,VENUS AFRODITA,3
YouTuber,JOSE SANCHA,3
YouTuber,XBUYER,3
YouTuber,ROMA GALLARDO,3
YouTuber,JORDI ENP,1
YouTuber,CAROLINA ABRIL,3
YouTuber,KATRINA MORENO,3
YouTuber,DAVID SUAREZ,3
YouTuber,WISMICHU,1
YouTuber,SHEILA ORTEGA,3
YouTuber,BLON,3
YouTuber,TORBE,1
YouTuber,GINEBRA BELUCCI,3
YouTuber,APOLONIA LAPIEDRA,1
YouTuber,Roma Gallardo,2
YouTuber,JOVENES,2
YouTuber,GARAZI,5
YouTuber,DRAKE,2
YouTuber,BROMA,1
YouTuber,BLANCO,1
YouTuber,Mostopapi,5
YouTuber,rickyedit,2
YouTuber,mimii,1
YouTuber,lunitabutt,1
YouTuber,adricontreras4,1
YouTuber,arigelii,1
YouTuber,garazi18,5
YouTuber,alexandrakerz,2
YouTuber,shainny,1
YouTuber,sara.jm,2
YouTuber,evelynperezzok,1
YouTuber,patriciacastillo,1
YouTuber,barbieraxettt,1
YouTuber,laii.sancheez,1
YouTuber,assaad,1
YouTuber,aitanilla13,1
YouTuber,i.herrerac,1
YouTuber,cubaamaami,1
YouTuber,JAVI MARTINEZ,2
YouTuber,javi8martinez,3
YouTuber,Fati,1
YouTuber,nachovidalxxx,1
YouTuber,mireia,1
YouTuber,aidacortesll,1
YouTuber,victoriacarotudela,1
YouTuber,JULIA PEREZ,2
YouTuber,juliaperezg,2
YouTuber,GEMMA TRUJILLO,4
YouTuber,Carlos,1
YouTuber,carlosramosssss,1
YouTuber,Daniel,1
YouTuber,daanielramoss,1
YouTuber,gemmawizzarofficial,3
YouTuber,gemmawizzar19,3
YouTuber,gemmawizzar,2
YouTuber,GemmaSTW,1
YouTuber,seleneitor2.0,1
YouTuber,Seleneitor13,1
YouTuber,BRUNELLI,2
YouTuber,isabrunellii,2
YouTuber,EL BANANERO,1
YouTuber,elbananerosoyio,1
YouTuber,andreasaladie,2
YouTuber,montse__roura,1
YouTuber,gero.momo,1
YouTuber,candenegri,1
YouTuber,baticlas,1
YouTuber,seleneitor13,1
YouTuber,valenpolero,1
YouTuber,julimanzotti,1
YouTuber,marialaperversa,1
YouTuber,marialaperversa1,1
YouTuber,gemmatg1,1
YouTuber,marinayers,2
YouTuber,MarynaYers99,1
YouTuber,PAULAGONU,1
YouTuber,paulagonu,3
YouTuber,DALAS REVIEW,2
YouTuber,FATIVAZQUEZ,1
YouTuber,IbaiLlanos,1
YouTuber,ibaillanos,2
YouTuber,rauwgallego,2
YouTuber,rauwgallegoxx,1
YouTuber,GONSABELLA,1
YouTuber,gonsabellla,1
YouTuber,AMELZIDANI,1
YouTuber,MINANO3,1
YouTuber,JEENIIBM2,1
YouTuber,mayichi,1
YouTuber,MAYICHIII,1
YouTuber,Mayichi,1
YouTuber,FOLAGOR,1
YouTuber,Folagor03,1
YouTuber,yoel__ramirez,1
YouTuber,TheShooterCod2,1
YouTuber,theshootercoc,1
YouTuber,MARTINPDISALVO,1
YouTuber,martinpdisalvo,1
YouTuber,iamcristinini,3
YouTuber,Jose Sancha,1
YouTuber,INVICTHOR,1
YouTuber,vittoriomalatesta,1
YouTuber,ElRinconDeGiorgio,1
YouTuber,jordiwild8,1
YouTuber,JordiWild,1
YouTuber,llobeti4,1
YouTuber,SPURSITO,2
YouTuber,elcanaldeguilleygavi,2
YouTuber,agavilanyt,1
YouTuber,papigavi,1
YouTuber,Spursito,2
YouTuber,martimiras,1
YouTuber,briana,2
YouTuber,banderas,1
YouTuber,brianabanderas,1
YouTuber,venusafroditaoff,1
YouTuber,venusafroditahd,1
YouTuber,xBuyer,1
YouTuber,1996Javi,1
YouTuber,pedrombaobiang,1
YouTuber,romagallardooficial,1
YouTuber,roma_gallardo,1
YouTuber,katrinamorenooficial,1
YouTuber,katrinamorenoof,1
YouTuber,davidsuarezcompartesusmierdas,1
YouTuber,DavidSuarez,1
YouTuber,MOSTOPAPI,1
YouTuber,sheilaortegaoff,2
YouTuber,soysheilaortega,1
YouTuber,MARKILOKURAS,2
YouTuber,markilokurasy,1
YouTuber,markigang,1
YouTuber,MarkiLokurasY,1
YouTuber,SUSY GALA,2
YouTuber,Apolonia Lapiedra,1
YouTuber,TIPARRACO,2
YouTuber,Tiparraco,2
YouTuber,TiparracoSA,1
YouTuber,Nekane Sweet,1
YouTuber,Nekane_Sweet,1
YouTuber,oihanemartinezc,1
YouTuber,xabiiglesias,5
YouTuber,real.estteban,2
YouTuber,daniroldaan10,1
YouTuber,javicorton,1
YouTuber,asiergarcia95,1
YouTuber,editaela7,1
YouTuber,geraldinecantor,2
YouTuber,lorianaberruti,1
YouTuber,juliadeluciax,1
YouTuber,blue1bianka,1
YouTuber,presley,1
YouTuber,angelavzlaoficial,1
YouTuber,DOP,1
YouTuber,JESUCRISTO,1
YouTuber,alvarommedia,1
YouTuber,MANIQUI,1
YouTuber,denisgarciab,2
YouTuber,Billy,3
YouTuber,DENIS,1
YouTuber,DenisgarciaB,1
YouTuber,Esther,1
YouTuber,Garazi,4
YouTuber,David,2
YouTuber,Ildefonso,2
YouTuber,Doble M,2
YouTuber,Mary,1
YouTuber,Denis,1
YouTuber,Trump,1
YouTuber,MostoPapi Camara,1
YouTuber,mikelgarcia,1
YouTuber,garassi,1
YouTuber,Blondie,6
YouTuber,Blondie Fisher,4
YouTuber,Snoop Dogg,1
YouTuber,garashi,1
YouTuber,Fisher,1
YouTuber,Evelyn Pérez,1
YouTuber,Evelyn,3
YouTuber,Evelyn Evelyn Evelyn,1
YouTuber,Blondie fischer,1
YouTuber,Ricky Edith,5
YouTuber,Ricky,4
YouTuber,Ricardo,1
YouTuber,Vega,5
YouTuber,Bea,1
YouTuber,Fer,1
YouTuber,Joaquín Paz,1
YouTuber,Peter,1
YouTuber,Dash,1
YouTuber,Agustín,6
YouTuber,gonzavela,2
YouTuber,greger,1
YouTuber,Luna,1
YouTuber,Sandra Blas,1
YouTuber,Melissa Baby,1
YouTuber,Lina,1
YouTuber,Esther Expósito,3
YouTuber,Alina espósito,1
YouTuber,Gaby,2
YouTuber,Arenas,1
YouTuber,Sandra blass,1
YouTuber,Alina,1
YouTuber,Peter Parker,4
YouTuber,Romeo,2
YouTuber,Adri Contreras,5
YouTuber,Gómez nahuer,1
YouTuber,Adri,12
YouTuber,Gómez,7
YouTuber,papi,23
YouTuber,TV,1
YouTuber,Jenny,8
YouTuber,Jenny Jenny Hazlo,1
YouTuber,Romeo Sesto,1
YouTuber,Ari Yeli,1
YouTuber,Ari,10
YouTuber,ancelotti,1
YouTuber,Jenny BM,1
YouTuber,Gabi,1
YouTuber,Keylor Navas,1
YouTuber,Jimmy Butler,1
YouTuber,isco,1
YouTuber,rugger,1
YouTuber,rudyker,1
YouTuber,Piqué Piqué,1
YouTuber,Piqué,1
YouTuber,Ariel,2
YouTuber,pubg,1
YouTuber,Baltasar,4
YouTuber,Esteban Esteban,1
YouTuber,Esteban,23
YouTuber,Nacho Vidal,1
YouTuber,Stephen Hawking,1
YouTuber,Kiko Rivera,1
YouTuber,Pinocho,1
YouTuber,Costco,1
YouTuber,Kim Kardashian,1
YouTuber,Benzema Bale,1
YouTuber,Débora,1
YouTuber,Eustaquio,1
YouTuber,pogbal,1
YouTuber,Javi Martínez,3
YouTuber,Fernando,1
YouTuber,Florentino Pérez,1
YouTuber,Tito flores,2
YouTuber,Messi,4
YouTuber,Ramos,1
YouTuber,Expósito,1
YouTuber,Antonela,2
YouTuber,Vegeta,1
YouTuber,mini,1
YouTuber,PR Vega,1
YouTuber,Gema Vega,1
YouTuber,Perry Vega,1
YouTuber,Dipper Rebeca,1
YouTuber,Mini,1
YouTuber,García,1
YouTuber,perrevega,1
YouTuber,Lucas,2
YouTuber,vegetta,1
YouTuber,vegeta,5
YouTuber,marlucas18,1
YouTuber,robalia sicora,1
YouTuber,Falcao,2
YouTuber,Mario Casas,1
YouTuber,Miguel Ángel,1
YouTuber,Cristiano Ronaldo,2
YouTuber,Leo Messi,1
YouTuber,Miguel,1
YouTuber,Albert,2
YouTuber,Mike,1
YouTuber,Roger Smallville,1
YouTuber,Sandra Wolf,2
YouTuber,riquel,1
YouTuber,Shiny,5
YouTuber,Loli,1
YouTuber,Ginny León,5
YouTuber,Jimmy León,5
YouTuber,Batman Ana,1
YouTuber,Esteban Xavi,1
