Source,Target,Weight
YouTuber,vegetta,597
YouTuber,Machete,1
YouTuber,PALA,1
YouTuber,Fargan,13
YouTuber,Vegetta7777,1
YouTuber,LUZU,2
YouTuber,VEGETTA,5
YouTuber,Vegetta777,16
YouTuber,KRATOS,1
YouTuber,ATREUS,1
YouTuber,Titi,122
YouTuber,Vegetta,125
YouTuber,TITI,2
YouTuber,LOLITO,1
YouTuber,SAPO PETA,2
YouTuber,RUBIUS,4
YouTuber,rubius,58
YouTuber,Rubius,199
YouTuber,Willy,1477
YouTuber,Quackity,1
YouTuber,Aquaman,1
YouTuber,Chico Percebe,1
YouTuber,Mina de Rubius,1
YouTuber,de Fargan,1
YouTuber,GATO ZEN,1
YouTuber,Alexby,3
YouTuber,WILLY EL MUDO,1
YouTuber,Fargana,1
YouTuber,Vegettana,1
YouTuber,Aroya,1
YouTuber,Aloy,1
YouTuber,Pochinkardo,1
YouTuber,BESTIAGETTA,2
YouTuber,Angel,3
YouTuber,CAPITAN VEGETTA,1
YouTuber,Nefa,3
YouTuber,REYES,1
YouTuber,Con Fargan,3
YouTuber,Habra Lloros,1
YouTuber,RICO,1
YouTuber,PewDiePie,1
YouTuber,FARGAN,8
YouTuber,CHORIZO,1
YouTuber,Herny PILLADO,1
YouTuber,"Willy,Alexby,Aroya",1
YouTuber,Willyrex,11
YouTuber,PIRATAS,1
YouTuber,Lobo Legendario,1
YouTuber,Robo,1
YouTuber,Wigetta,2
YouTuber,WARZONE,1
YouTuber,Vegetta Roba,1
YouTuber,MACHOBOY,1
YouTuber,BATMAN,1
YouTuber,AMONG US,1
YouTuber,GUAPOBOY,1
YouTuber,ÑORDETA,1
YouTuber,CAMARABOY,1
YouTuber,VEGETTINI,1
YouTuber,LUCKY,2
YouTuber,WILLY,9
YouTuber,WIGETTA,2
YouTuber,NINJAGETTA,1
YouTuber,MAGOGETTA,1
YouTuber,RINOUNICORNIO,1
YouTuber,JASON DE FUEGO,1
YouTuber,CHICAS GG,1
YouTuber,FRANK,1
YouTuber,YATE WIGETTA,1
YouTuber,Luzu,98
YouTuber,JAMAS OLVIDAR,1
YouTuber,WILLYREX,1
YouTuber,Samuel De Luque,435
YouTuber,Kratos,109
YouTuber,Atreus,2
YouTuber,Freya,1
YouTuber,vegetta777,9
YouTuber,titi,4
YouTuber,Sapo Peta,1
YouTuber,Mangel,2
YouTuber,Lolito,2
YouTuber,Frank,46
YouTuber,fargan aroia,1
YouTuber,alexby,35
YouTuber,aroia,1
YouTuber,vegeta,442
YouTuber,kripin,1
YouTuber,Trevor,25
YouTuber,willy,313
YouTuber,fargan,99
YouTuber,aroya,6
YouTuber,Jason,10
YouTuber,Jasongetta,1
YouTuber,JASON,2
YouTuber,"Vegetta,mi",3
YouTuber,Isaac Guerrero,8
YouTuber,Samuel,33
YouTuber,TheWillyrex,1
YouTuber,vegetta.gaymerpro.7,1
YouTuber,Vegeta,2792
YouTuber,Samuel Sanz,3
YouTuber,Mateo,6
YouTuber,Zeta,4
YouTuber,Azusa,1
YouTuber,Jesucristo,42
YouTuber,Dale,54
YouTuber,Klein,1
YouTuber,Smith,3
YouTuber,Dani,9
YouTuber,Bruce Lee,2
YouTuber,Jackie Chan,2
YouTuber,Vegeta Samuel,1
YouTuber,Valentina,2
YouTuber,Pumba,1
YouTuber,León,7
YouTuber,Lucas,10
YouTuber,Caballero,1
YouTuber,Fabián Vegeta,1
YouTuber,Ashley,3
YouTuber,Golden graham,1
YouTuber,Forastero Vegeta,1
YouTuber,Majo,17
YouTuber,Andy,5
YouTuber,Gigi,27
YouTuber,Navarro,1
YouTuber,Luis Miguel,3
YouTuber,Luis,9
YouTuber,Augusto,2
YouTuber,Hugo,11
YouTuber,Leonidas,1
YouTuber,Winky,1
YouTuber,Jackie,1
YouTuber,Grande,2
YouTuber,lord saddler,1
YouTuber,Alejandra,13
YouTuber,Nexus Rivera,1
YouTuber,Roger,21
YouTuber,folish,1
YouTuber,Quique,1
YouTuber,Lucio,12
YouTuber,Holi,4
YouTuber,Oli,8
YouTuber,Anita,2
YouTuber,Padre,2
YouTuber,Cabo,1
YouTuber,Rubio,26
YouTuber,Colas,1
YouTuber,polis,4
YouTuber,Pillo,14
YouTuber,Dios,24
YouTuber,Olaf,3
YouTuber,Enderman,4
YouTuber,Fiu,1
YouTuber,Fiu fiu,1
YouTuber,Tati,1
YouTuber,Wilson,28
YouTuber,Blanquita,1
YouTuber,Araña,3
YouTuber,Chayo,1
YouTuber,Juan,52
YouTuber,Mike,2
YouTuber,Ciro Ciro,1
YouTuber,Torito,6
YouTuber,Luis Miguel Nach,1
YouTuber,Ana,2
YouTuber,Vegeta Julie,1
YouTuber,Tony Montana,1
YouTuber,Vicente,62
YouTuber,Cristo,6
YouTuber,Tania,1
YouTuber,Palmar,1
YouTuber,Wilson Wilson,3
YouTuber,Bruno,34
YouTuber,Moreno,6
YouTuber,Tito Tito,9
YouTuber,Roger Roger,3
YouTuber,Iron,11
YouTuber,Adrián,4
YouTuber,Karime Torres,1
YouTuber,Mariana,14
YouTuber,Chico,3
YouTuber,Holis Gamer,1
YouTuber,Falls,1
YouTuber,Chapó,5
YouTuber,Karime,3
YouTuber,Joe Macho,1
YouTuber,Cotilla,5
YouTuber,Erika Mariana González,1
YouTuber,Chaval,3
YouTuber,Tito Tito Tito,3
YouTuber,Tito,16
YouTuber,Rocky,3
YouTuber,Rocky Balboa,1
YouTuber,Vegueta,1
YouTuber,misa,1
YouTuber,Holis,2
YouTuber,Joaquín,5
YouTuber,Vegeta Vegeta,13
YouTuber,Freddy,17
YouTuber,Wild,1
YouTuber,Will,12
YouTuber,Marina,1
YouTuber,auron,13
YouTuber,Puma,3
YouTuber,Thomas,1
YouTuber,León León,1
YouTuber,Luis Serra,1
YouTuber,Alberto Chicote,1
YouTuber,Pedro,23
YouTuber,Paco,330
YouTuber,Esmeralda,2
YouTuber,lord saddley,1
YouTuber,Van Helsing,2
YouTuber,Lyon León,1
YouTuber,Matías Matías,2
YouTuber,Matías,8
YouTuber,Juana,6
YouTuber,Iván,29
YouTuber,Dale dale,8
YouTuber,fitensy,1
YouTuber,Donald Trump,2
YouTuber,Marcos,5
YouTuber,Osa,3
YouTuber,Dame,1
YouTuber,Cairo,1
YouTuber,Marcos Marco Polo,1
YouTuber,Lola,1
YouTuber,Luz,6
YouTuber,Spring,1
YouTuber,Vicente Vegeta,1
YouTuber,Sparrow,1
YouTuber,Dinamita,1
YouTuber,Sancho,1
YouTuber,Mesías,1
YouTuber,Dale Vegeta,1
YouTuber,Bruno Majo,1
YouTuber,Mozart,2
YouTuber,Jetta,1
YouTuber,Luisa,1
YouTuber,Arquero,1
YouTuber,marco Apolo,1
YouTuber,Marco Polo,3
YouTuber,Floyd,2
YouTuber,Bad Boy,1
YouTuber,Enrique Martínez,1
