Source,Target,Weight
YouTuber,Clavero,1
YouTuber,SPREEN,1
YouTuber,Biyin,1
YouTuber,quackity,2
YouTuber,shakira,3
YouTuber,AURON,1
YouTuber,Rubius,41
YouTuber,Juan,409
YouTuber,8cho,1
YouTuber,Drako,1
YouTuber,COREANO,1
YouTuber,Karchez,2
YouTuber,CAVERNICOLA,1
YouTuber,Ibai,96
YouTuber,Reborn,5
YouTuber,Axozer,18
YouTuber,JUEGAZO,1
YouTuber,Danirep,1
YouTuber,NADIE,1
YouTuber,Messi,13
YouTuber,JUAN GUARNIZO,2
YouTuber,Dani,42
YouTuber,RUBIUS,1
YouTuber,IBAI,2
YouTuber,DJMARIO,2
YouTuber,CARRERITAS,1
YouTuber,CALVO,1
YouTuber,DANIREP,1
YouTuber,NENE BÉSAME,1
YouTuber,ADIVINA LOGO,1
YouTuber,Juanita,1
YouTuber,Juanito,47
YouTuber,AxoZer,2
YouTuber,Luzu,15
YouTuber,Ampeter,1
YouTuber,Kun Agüero,1
YouTuber,Momon,19
YouTuber,Toni Gambino,1
YouTuber,AURELIO,2
YouTuber,AURELIO EL CALCETINES,1
YouTuber,AURELIO EL CAPRICHOSO,1
YouTuber,AURELIO EL WAPO,1
YouTuber,CRISTIANO RONALDO,1
YouTuber,KUN,1
YouTuber,AURELIO EL CARAMEJILLÓN,1
YouTuber,AURELIO GANA,1
YouTuber,AURELIO EL GRANUJA,1
YouTuber,AURELIO EL SENSUAL,1
YouTuber,AURELIO EL AGOTADO,1
YouTuber,AURELIO EL DESQUICIADO,1
YouTuber,AURELIO EL HACKER,1
YouTuber,AURELIO EL LOCO,1
YouTuber,AURELIO EL TRISTÓN,1
YouTuber,ME ODIAN,1
YouTuber,MANOLO,2
YouTuber,LLORAMOS DE LA RISA,1
YouTuber,DAN,1
YouTuber,FRED,1
YouTuber,PABLITO,1
YouTuber,LOLITO,1
YouTuber,DjMario,34
YouTuber,Tanizen,1
YouTuber,Noni,6
YouTuber,Nathy Peluso,1
YouTuber,Mayichi,1
YouTuber,Aroyitt,1
YouTuber,Villano Antillano,1
YouTuber,AriGameplays,1
YouTuber,Ampeterby7,1
YouTuber,Tiago PZK,1
YouTuber,Carola,116
YouTuber,Mister Jagger,1
YouTuber,Duki,1
YouTuber,Malbec,1
YouTuber,Spreen,1
YouTuber,Auronplay,349
YouTuber,Komanche,2
YouTuber,Perxitaa,3
YouTuber,Lit Killah,1
YouTuber,Bjean,16
YouTuber,Violeta,40
YouTuber,Pato,27
YouTuber,Pol.,16
YouTuber,Pol,3
YouTuber,Comanche,101
YouTuber,Paul,163
YouTuber,Danny,4
YouTuber,Dani Dani Dani Dani,1
YouTuber,Flex Mami,4
YouTuber,Flex mami,3
YouTuber,Paul Paul,3
YouTuber,Paco,84
YouTuber,Lucifer,13
YouTuber,Lore Lore,1
YouTuber,Edward pufton,1
YouTuber,Bárbara,1
YouTuber,familia puffton,1
YouTuber,Edgar pum,1
YouTuber,Kelvin,1
YouTuber,Tom,2
YouTuber,Paco Paco,4
YouTuber,Juan José,1
YouTuber,Paco Paco Paco Paco,1
YouTuber,Focus,117
YouTuber,Cayetano,1
YouTuber,Hank,3
YouTuber,Walter White,13
YouTuber,Jesse pinkman,1
YouTuber,cyberg,1
YouTuber,Nico,12
YouTuber,Aaron,3
YouTuber,San Javier,1
YouTuber,Antonio José,1
YouTuber,Ochoa,2
YouTuber,Eva,2
YouTuber,William malld,1
